time,comment,newsLocationPerson,mediaNum,newsNum,joinLocalNum,agree,totalHot,h1,h2,h3
2017-08-27,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-08-31,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-09-04,3,0,0,0,2,1,0.54116903,0.0428419,0.54116903,0.49832713
2017-09-05,2,0,0,0,2,0,0.27626272,0.0428419,0.27626272,0.23342082
2017-09-13,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-09-14,1,0,0,0,1,1,0.28632726,0.02142095,0.28632726,0.26490631
2017-09-15,2,1,0,0,2,2,0.6797335699999999,0.14992095,0.6797335699999999,0.52981262
2017-09-18,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-09-19,1,0,0,0,1,2,0.43452315999999996,0.02142095,0.43452315999999996,0.41310220999999997
2017-09-20,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-09-25,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-09-26,1,0,0,0,1,4,0.73091496,0.02142095,0.73091496,0.70949401
2017-09-28,2,0,0,0,1,7,1.29221307,0.02142095,1.29221307,1.27079212
2017-09-29,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-09-30,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-10-04,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-10-08,2,0,0,0,1,1,0.40303767,0.02142095,0.40303767,0.38161672
2017-10-10,1,0,0,0,0,0,0.11671041,0,0.11671041,0.11671041
2017-10-11,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-10-16,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-10-22,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-10-25,1,0,0,0,1,5,0.8791108599999999,0.02142095,0.8791108599999999,0.8576899099999999
2017-10-30,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-11-02,1,0,0,0,1,1,0.28632726,0.02142095,0.28632726,0.26490631
2017-11-03,1,0,0,0,1,1,0.28632726,0.02142095,0.28632726,0.26490631
2017-11-07,1,1,0,0,1,2,0.54160221,0.1285,0.54160221,0.41310220999999997
2017-11-08,1,0,1,1,1,12,2.19308216,0.29802095,1.91648216,2.17166121
2017-11-09,1,0,0,0,0,0,0.11671041,0,0.11671041,0.11671041
2017-11-24,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-11-29,1,1,0,0,1,2,0.54160221,0.1285,0.54160221,0.41310220999999997
2017-12-03,1,0,0,0,1,1,0.28632726,0.02142095,0.28632726,0.26490631
2017-12-04,1301,105,3,3,29,11423,1857.37631691,12.694307799999999,1856.54651691,1845.51180911
2017-12-05,745,65,2,2,30,403,154.82816989999998,8.155966750000001,154.2749699,147.22540314999998
2017-12-06,412,42,0,0,28,2663,447.82747732,5.097106699999999,447.82747732,442.73037062
